"","sim","sample","type","control_mean","control_sd","beta","se","t_stat","pval"
"256",256,7500,"OLS",189.147622906537,248.617998068413,-8.38972401238255,5.687434349126,-1.47513333734952,0.140218686805125
"257",257,8000,"OLS",184.468021814576,249.560726835334,1.9950392040827,5.54511682608439,0.359783078815937,0.719018857383766
"258",258,8500,"OLS",182.397973609802,244.611957473463,6.60014669095016,5.39340529589579,1.22374387401827,0.221082791662006
"259",259,9000,"OLS",188.031012795489,259.580490680866,-6.92666100692662,5.18787991633997,-1.33516217002443,0.18185705193953
"260",260,9500,"OLS",180.573889580739,239.900292283615,4.69928427658697,5.00905002007422,0.93815878415152,0.348186671156489
"261",261,10000,"OLS",180.85483214649,247.767705136762,3.05362409736442,4.88732386714331,0.624804940366945,0.532113346107949
"262",262,10500,"OLS",178.897890699904,229.597778700149,7.08016038808061,4.74202547530493,1.49306671272687,0.135449776660924
"263",263,11000,"OLS",182.250767286514,233.938405813884,1.27770735183065,4.62713359406559,0.276133663715553,0.782450593977124
"264",264,11500,"OLS",183.376586128976,243.50496987534,0.291588570867396,4.51981593934119,0.0645133728409963,0.94856258081537
"265",265,12000,"OLS",185.495371900826,247.83982478998,-2.52209458990172,4.45486209188725,-0.566144257191418,0.571306308296281
"266",266,12500,"OLS",182.692825814536,239.892839813268,4.08031022208899,4.42550734496936,0.921998293987068,0.356547263058645
"267",267,13000,"OLS",182.512411890898,240.669651012998,5.51160726263841,4.33775829739215,1.27061188862274,0.203889496652339
"268",268,13500,"OLS",187.064699792961,251.419531888855,-3.56863271074103,4.24102084136425,-0.841456065467735,0.40010739478855
"269",269,14000,"OLS",187.623600344531,250.889188273526,-3.74344680458209,4.19066991266137,-0.893281237272334,0.37172193999581
"270",270,1000,"OLS",183.851063829787,320.710889849491,0.306286066693231,17.4960171698429,0.0175060451598758,0.986036409291772
"271",271,1500,"Logged",4.4965068961199,1.46497788174435,0.0921820675249773,0.0699714535998471,1.31742393193871,0.187898023855361
"272",272,2000,"Logged",4.56370239637068,1.38392150559703,-0.0322829889077729,0.0608821887353339,-0.5302534218688,0.595995159217345
"273",273,2500,"Logged",4.53915912429005,1.34656039578249,-0.00532188015831344,0.0545895331834972,-0.0974890212089646,0.922345873568958
"274",274,3000,"Logged",4.55351437552895,1.33788526388384,-0.0338449652451377,0.0494685026312431,-0.684172017443721,0.493919430349359
"275",275,3500,"Logged",4.5553013944102,1.38664727511139,-0.0327462193621266,0.0461853810551359,-0.709016979269574,0.478361190678697
"276",276,4000,"Logged",4.5684731066366,1.36064815707143,-0.0514170738428412,0.0431622705831078,-1.1912504404475,0.233625998392023
"277",277,4500,"Logged",4.55576612637172,1.32234648873815,-0.0333900941938788,0.0406336566708703,-0.821734909667034,0.411271339613397
"278",278,5000,"Logged",4.5459635525962,1.33219106218454,-0.0166695318163509,0.0382643065823776,-0.43564181100378,0.663115443214115
"279",279,5500,"Logged",4.54279952002549,1.34218936826248,0.00678061084916919,0.0364681921053512,0.18593219070419,0.852504797004821
"280",280,6000,"Logged",4.53513541658716,1.35242307951094,0.0410172614628058,0.0349667159863899,1.17303728147565,0.240827437485117
"281",281,6500,"Logged",4.5606749695301,1.35677248998008,-0.006536309889129,0.0336094366109001,-0.19447841285769,0.845807376650093
"282",282,7000,"Logged",4.55628998353414,1.35087531277596,0.000768524872792326,0.0323632352881229,0.0237468493477341,0.981055213212261
"283",283,7500,"Logged",4.5384794703919,1.34877268426554,0.0326555823283824,0.031164140291341,1.04785763454722,0.294737979135604
"284",284,8000,"Logged",4.54395267959528,1.36417982439662,0.0236907318432629,0.0301451393528873,0.785888947665249,0.431955831612789
"285",285,8500,"Logged",4.56669649647481,1.34720800928186,-0.0225787324068584,0.0292762473661436,-0.771230415035005,0.440591812133343
"286",286,9000,"Logged",4.53038693917818,1.38272550055967,0.0402280152555404,0.028464566705884,1.41326638382395,0.157612005511814
"287",287,9500,"Logged",4.50327509705203,1.36204519903815,0.0801604227167465,0.0276377949196942,2.90039140060431,0.00373551927037651
"288",288,10000,"Logged",4.53800239232066,1.33171358122782,0.00794937544972908,0.0269458414433846,0.295013071550628,0.767990019787797
"289",289,10500,"Logged",4.54732379961681,1.36382920236447,-0.00315703365918714,0.0262126623538749,-0.120439260101348,0.904137497513658
"290",290,11000,"Logged",4.55677193586383,1.34003214798132,-0.0163057776232676,0.02559717022866,-0.637014852720348,0.524128428079757
"291",291,11500,"Logged",4.56296722790338,1.33365848590829,-0.0216188476121038,0.0250182691408649,-0.864122433505664,0.387538662595542
"292",292,12000,"Logged",4.55140188815605,1.33706141659616,0.00783912661726377,0.0244695561130497,0.320362436533254,0.748699176418816
"293",293,12500,"Logged",4.53868072878725,1.33659841334326,0.032926554244229,0.0239750585974523,1.37336699764012,0.169662919785178
"294",294,13000,"Logged",4.53841884217383,1.32678578787515,0.0403863125332195,0.0235003893876235,1.71853801513983,0.085722339619657
"295",295,13500,"Logged",4.54935036039452,1.35644784991538,0.0176457390290334,0.0230756090176509,0.764692234798044,0.444468199480609
"296",296,14000,"Logged",4.56641022756227,1.3303175130469,-0.0138501436974579,0.0226693801585963,-0.610962611265129,0.541234253189052
"297",297,1000,"Logged",4.42772502387716,1.41667113906026,0.155249099308514,0.0880726017405924,1.76274001494565,0.0782503861092262
"298",298,1500,"Logged",4.59339539691028,1.29133751356902,-0.101254291262711,0.0700709114954717,-1.44502603293885,0.148659717251082
"299",299,2000,"Logged",4.47785080731814,1.41700796445148,0.139775302075303,0.0608252923069877,2.29797994837166,0.0216657936645939
"300",300,2500,"Logged",4.53881819259418,1.36930180909452,-0.00502994607472654,0.0546203729764876,-0.0920891931091679,0.926634558764532
"301",301,3000,"Logged",4.50241890524781,1.35399175350839,0.0677137267081923,0.0494324867954044,1.36982237993512,0.170844935862852
"302",302,3500,"Logged",4.52702867799728,1.3613463487393,0.0243067531804101,0.0462057091573266,0.526055191527255,0.598883209191832
"303",303,4000,"Logged",4.52008647431648,1.3893302597271,0.0451040491385825,0.0431854978278665,1.04442582364948,0.296351565593276
"304",304,4500,"Logged",4.54686740900453,1.33796962327704,-0.0142459868141576,0.0405330602630733,-0.351465858282012,0.725255344160886
"305",305,5000,"Logged",4.56383481609471,1.3559248530881,-0.0508149106072858,0.038272222623649,-1.32772300963484,0.184330264949877
"306",306,5500,"Logged",4.54942413775454,1.3518879869332,-0.00645944944661557,0.0364646410505829,-0.177142822759593,0.859402731270949
"307",307,6000,"Logged",4.53345428023851,1.3700481292525,0.0438222301756564,0.0349869075401367,1.25253225439784,0.210424815619324
"308",308,6500,"Logged",4.55401162361957,1.34959681978278,0.00678447645357277,0.0336075376666946,0.201873654680041,0.840021817864901
"309",309,7000,"Logged",4.55034351201001,1.35821658492361,0.012601970014744,0.0323623760253865,0.389401878430016,0.696990731730583
"310",310,7500,"Logged",4.54673911993759,1.35038106005458,0.0161891974187042,0.031166292274295,0.519445729258484,0.603465281824647
"311",311,8000,"Logged",4.54768365188862,1.3449445081219,0.0163402736474611,0.0301339945183432,0.542253820266491,0.587658771028438
"312",312,8500,"Logged",4.58493605115571,1.33738119765701,-0.0587410287648624,0.0292680639635282,-2.00700083333361,0.044781186497295
"313",313,9000,"Logged",4.55232656627209,1.35372412089557,-0.00320089714457641,0.0284560893695099,-0.112485489591065,0.910440983564088
"314",314,9500,"Logged",4.55033140577504,1.34073899716215,-0.0148088646514708,0.0276539344404272,-0.535506608774691,0.592312127095416
"315",315,10000,"Logged",4.5441726107729,1.34738320292546,-0.00431188630426693,0.0269499653760744,-0.159995986788722,0.872887467705443
